Username,Password,Phone,Telegram ID,Allowance
Kong Leak Smey,b29bf44ff918dd9ee7b370f4b5dfacbd6b402ec68e2d0624ae582a9dcb72b68a,0965652346,1130272106,29823.78;60357.65;71009.0
User1,0b14d501a594442a01c6859541bcb3e8164d183d32937b851835442f69d5c94e,0894387189,1130272106,25212.18;70338.9;40135.6
User2,6cf615d5bcaac778352a8f1f3360d23f02f34ec182e259897fd6ce485d7870d4,0785291669,1130272106,70477.11;26494.78;77576.45
User3,5906ac361a137e2d286465cd6588ebb5ac3f5ae955001100bc41577c3d751764,0110410935,1130272106,33485.2;25874.78;44539.54
User4,b97873a40f73abedd8d685a7cd5e5f85e4a9cfb83eac26886640a0813850122b,0107600037,1130272106,23417.03;74989.47;13620.35
User5,8b2c86ea9cf2ea4eb517fd1e06b74f399e7fec0fef92e3b482a6cf2e2b092023,0116251508,1130272106,66540.98;75411.28;78964.55
User6,598a1a400c1dfdf36974e69d7e1bc98593f2e15015eed8e9b7e47a83b31693d5,0975886845,1130272106,55206.69;69252.23;28595.16
User7,5860836e8f13fc9837539a597d4086bfc0299e54ad92148d54538b5c3feefb7c,0155135470,1130272106,79353.44;20614.15;60798.5
User8,57f3ebab63f156fd8f776ba645a55d96360a15eeffc8b0e4afe4c05fa88219aa,0851012578,1130272106,16970.99;36607.86;45446.27
User9,9323dd6786ebcbf3ac87357cc78ba1abfda6cf5e55cd01097b90d4a286cac90e,0966351135,1130272106,69858.99;67278.55;24125.51
User10,aa4a9ea03fcac15b5fc63c949ac34e7b0fd17906716ac3b8e58c599cdc5a52f0,0893165039,1130272106,13512.84;16279.4;22936.7
User11,53d453b0c08b6b38ae91515dc88d25fbecdd1d6001f022419629df844f8ba433,0616506648,1130272106,57639.31;23177.03;37210.38
User12,b3d17ebbe4f2b75d27b6309cfaae1487b667301a73951e7d523a039cd2dfe110,0890421433,1130272106,29624.91;17226.78;37916.9
User13,48caafb68583936afd0d78a7bfd7046d2492fad94f3c485915f74bb60128620d,0955954169,1130272106,18231.37;21672.0;75726.05
User14,c6863e1db9b396ed31a36988639513a1c73a065fab83681f4b77adb648fac3d6,0972981145,1130272106,22891.48;74279.24;39539.41
User15,c63c2d34ebe84032ad47b87af194fedd17dacf8222b2ea7f4ebfee3dd6db2dfb,0117799031,1130272106,17035.39;66709.4;14442.89
User16,17a3379984b560dc311bb921b7a46b28aa5cb495667382f887a44a7fdbca7a7a,0775389654,1130272106,12841.21;75161.52;40087.79
User17,69bfb918de05145fba9dcee9688dfb23f6115845885e48fa39945eebb99d8527,0152695904,1130272106,69511.8;46755.02;65551.12
User18,d2042d75a67922194c045da2600e1c92ff6d87e8fb6e0208606665f2d1dfa892,0979534176,1130272106,19538.09;14813.96;30344.53
User19,5790ac3d0b8ae8afc72c2c6fb97654f2b73651c328de0a3b74854ade562dd17a,0701067353,1130272106,38841.52;43335.47;30623.9
User20,7535d8f2d8c35d958995610f971287288ab5e8c82a3c4fdc2b6fb5d757a5b9f8,0610538578,1130272106,47863.33;27172.68;27935.98
User21,91a9ef3563010ea1af916083f9fb03a117d4d0d2a697f82368da1f737629f717,0108224118,1130272106,39322.82;51781.12;25938.39
User22,d23c1038532dc71d0a60a7fb3d330d7606b7520e9e5ee0ddcdb27ee1bd5bc0cd,0967120485,1130272106,70537.86;24801.22;31414.18
User23,8b807aa0505a00b3ef49e26a2ade8e31fcd6c700d1a3aeee971b49d73da8e8ff,0899161837,1130272106,11026.37;36805.35;50242.83
User24,fc8a9296208a0b281f84690423c5d77785e493f435e6292cc322840f543729d3,0771521048,1130272106,59390.01;32912.1;75004.42
User25,0b544d6d8da1d1af25318e97e0ac5f6bc70bba49919463dc0074ede01a49d381,0857629436,1130272106,16426.79;67774.86;76800.93
User26,869f2a98b0e3a6ea928ff0542330ea3c1e0ff8591801693350f1fc3f1e57e4c5,0105842775,1130272106,19493.19;16864.83;29796.74
User27,9c7568513b9c85e73f3650c8b00e3259501096ccee9d3dbdae6ff5e84aabe3af,0786134676,1130272106,75813.65;28132.91;64898.28
User28,6f5ea1c4acc7a563ea8cb3381a55f0183a2394d679ebb7db8312e047bbf87e0d,0617900785,1130272106,52704.15;20901.97;48721.59
User29,48a94846b2a7386432b90ad13bcf9c66f1efdd3a97e0e14968c262c412fe22c8,0700724879,1130272106,20156.68;53723.31;72088.46
User30,7c682dea8e934e04343374e3d25cd51edce9cbeb47f7034296052cb5cd6bed84,0777566469,1130272106,56776.15;51413.54;46648.55
User31,a4239ae1725466d26621f102d58c1541c84ff1142f4341c7b66be92e32396d45,0929764028,1130272106,79287.96;34856.89;51812.64
User32,078aa4687601ab09b1f7581014674b3bf1a3aa68b12c346d01024f1f5206f94b,0707588338,1130272106,41782.45;39831.45;47509.97
User33,ee13b7d4c8c0595dcabf6016290d65d8a50163569368db690595d5acaa5a168b,0962375689,1130272106,16631.33;42847.49;40232.54
User34,72f1ffa2d7a9c9d60c2369fffce54372eea054d567c77f8a518f4f4c06b3856a,0123693133,1130272106,65462.33;13183.36;56977.66
User35,5bd40f88c4a6b2c20256389878ec2b59515ca478eb3eb0f3673663273bcb639b,0160783179,1130272106,73418.99;43269.96;60362.05
User36,9777509ca199ac591368c5cfa9ef92b4879ff99098b7e34865172a5ea983542e,0172929947,1130272106,32939.03;30855.53;49246.1
User37,ca02485287fd4f05de9540613f8ba982e99080b66f8452024cb4c4cc3de7042e,0169925655,1130272106,44047.22;64450.33;49973.33
User38,014d020993865f93b80ec587e171554db5b45a1a46a9101510de52e148aa184f,0128115529,1130272106,37098.3;52061.02;32951.45
User39,f245ffb6352c8c101b0f9ed1187104f11e0a64622cc5da7082aef963dea5a83f,0121516145,1130272106,76384.09;71695.76;22195.19
User40,825e233a9d192f81d3f6780cb8e181af518054a8d9c83381882e573eed014df2,0117950762,1130272106,17684.04;21029.31;33549.08
User41,a13b6ab0bb26b7d8bf31628b3b524efade4ac5b02712a95210c0abda5148ec85,0854624099,1130272106,18868.91;33334.89;47920.76
User42,fe404abb6785bd17ac4c937c2837d3ad6d6ac1ed17e099a89a9c5e18d1e936fe,0152866252,1130272106,55160.61;55888.07;78738.89
User43,fe4597a9d0a16c51ab5c8224dae83f170b69cede0f1a7f40f447f163dcbf9295,0899839886,1130272106,27097.9;20860.45;42240.73
User44,f9d07093d0de736c8881640c3e55714bebd5faf5d6ebbfb41e486e1660c8fc0e,0985491027,1130272106,33786.42;56855.41;29526.74
User45,0528d31561cee040ee92e2857a2d71a373605b91da87d09ae5359a0689c45e6c,0165462779,1130272106,52437.34;58224.2;14835.95
User46,f7944ecca058c63c386de56353cddf278c98f3143bd4a00bb0b2015adb69ed39,0150601641,1130272106,75019.44;65796.15;43608.68
User47,7ff9543ea5b226aeb9dcbf13672c32e62623e70edc4177512b169ec4e39846ea,0853473075,1130272106,21097.65;25751.64;41054.25
User48,172e362eecb6dff98dbeb4a7c42367109c1b288ecf45ff271fb79acd352ba8f9,0702482731,1130272106,58214.45;79870.7;62473.75
User49,3cd00931dd1de5d07fcafb463ba5c4d95d31dca8a35480cac4a2beb771cb90df,0124011901,1130272106,69670.75;21543.42;62998.77
User50,b5d966eb0c2845953fab12c306c906a3561162262115c3b6fc19aead8d142157,0957189391,1130272106,53692.78;23115.18;25384.87
User51,b799be36e0059d7867f1379a24171b2b09d91be5d2cac0a12d97c0302a6b07ce,0927450336,1130272106,44009.51;27666.67;15792.93
User52,9626a29ac1d7006741337f6ebc6a5a41cfdc3aa65d2b10ff9cda937c6a7fd35b,0966793069,1130272106,30363.17;49731.21;74084.36
User53,a60f6d009343ab015ee59fa2ff29e5aa12dd69aa7a7285f15e1fdec6ce7407d7,0969404672,1130272106,61347.33;14112.26;72147.14
User54,49a9b3d96db1310ff79b9ae1cdb1e148b4d5995b7f889e5ad2b611f452fecf71,0870721620,1130272106,23096.11;43495.03;61339.35
User55,92b32cbd4cc1b06d83ec4c305c52d651b9c125a7b12dbb7c6a1cf796f6e389e5,0862034384,1130272106,52076.56;36711.15;11068.11
User56,58bcc70c0e1ead10857a4b2deb02f167a42461fe5ff5b0040f93ef822b538c2c,0614859481,1130272106,16642.72;22206.66;73578.85
User57,5436508fb28e193da4a51c675d96e1d412d5e2ab3e128e509a27efccff2a9240,0612626943,1130272106,39408.02;18294.55;10725.09
User58,5613bf613df8da20ca171ba2110c3b2558506e8e0af57891dcf0c056f41b7718,0855546095,1130272106,75171.06;73765.45;54804.13
User59,fe38739fb81956f6064587c7a78565fa71448c44408b48012122e7e7ea83e1a6,0899486883,1130272106,67093.61;57905.58;73487.67
User60,25b30bd22b6218deda2022fccd2c726bd6da37b4b624ca72028b587bed7b8908,0964378085,1130272106,16846.72;27906.51;43905.94
User61,a94483aff86454580a66cf4794f417e1b406b6dde7de2e5796a4a0b3e07356b6,0920249488,1130272106,46876.37;43032.84;73190.63
User62,c1ce757c52862f31178c2e77cb391dc605735ea5416c50d2b68dd1c0f559049e,0968183217,1130272106,42922.11;22985.98;15400.52
User63,1d4a516ebe2acdffd5da7ab190d0c61871ba892df25f528915a84e787360a78f,0179454866,1130272106,54159.8;30039.36;64653.61
User64,863ecfd7228c0856c236ce48331bf756489d8faade33e7d8d8762c52841a4f58,0615318997,1130272106,21404.25;40379.84;11454.71
User65,893f05cca9f0bdf66d78944a09e9cbe3a1ddc76838e329cae5d22a339b45e272,0786303212,1130272106,71694.71;14709.29;39167.13
User66,60dbb6453448c39993cdd41edf3451a7d5e0eaf298207ee001f110c4d7785c8c,0928315836,1130272106,35924.15;15811.03;11272.11
User67,fb8a6ce5d0214341f9c78591b4e4ef31050cc952a56ef18c3a597fe0dcb3cd49,0864998911,1130272106,73186.58;16393.25;39389.84
User68,88e43563eb048331cecc5f4f6823b2328bb482be858f5984ec8fe93e6bad1e78,0179046616,1130272106,64368.49;66421.55;50983.74
User69,7109b84353bb31d935391d9294fe71155d9e618e1273b2f1531e912318610f60,0905428695,1130272106,65154.6;38229.97;11008.33
User70,34fe23cf9636ea9d587823e90887a150c7e22e6f330dcae8ff5d3fa1bbc37852,0705522824,1130272106,27484.65;50456.39;72376.01
